pert_id	cell_iname	pert_type	compound_id	drug_id
BRD-K93461745	HUH7	trt_cp	BRD-K93461745__HUH7__trt_cp	buspirone
BRD-A75935363	HUH7	trt_cp	BRD-A75935363__HUH7__trt_cp	atracurium
BRD-K60907894	U2OS	trt_cp	BRD-K60907894__U2OS__trt_cp	adiphenine
BRD-K44004064	PC3	trt_cp	BRD-K44004064__PC3__trt_cp	acefylline
BRD-K77947974	NEU	trt_cp	BRD-K77947974__NEU__trt_cp	fluspirilene
BRD-K13296708	NPC	trt_cp	BRD-K13296708__NPC__trt_cp	rimonabant
BRD-K10671814	MCF7	trt_cp	BRD-K10671814__MCF7__trt_cp	sulfaphenazole
BRD-A29349577	PHH	trt_cp	BRD-A29349577__PHH__trt_cp	dropropizine
BRD-K37289225	NEU	trt_cp	BRD-K37289225__NEU__trt_cp	clozapine
BRD-K52256627	PC3	trt_cp	BRD-K52256627__PC3__trt_cp	chlorhexidine
BRD-K92977333	MCF7	trt_cp	BRD-K92977333__MCF7__trt_cp	entacapone
BRD-M35773784	MCF7	trt_cp	BRD-M35773784__MCF7__trt_cp	atropine
BRD-K96390176	MCF7	trt_cp	BRD-K96390176__MCF7__trt_cp	calcipotriol
BRD-A69512159	NEU	trt_cp	BRD-A69512159__NEU__trt_cp	carbidopa
BRD-K37890730	MCF7	trt_cp	BRD-K37890730__MCF7__trt_cp	camptothecin
BRD-K71879491	HL60	trt_cp	BRD-K71879491__HL60__trt_cp	tretinoin
BRD-A02743701	HUH7	trt_cp	BRD-A02743701__HUH7__trt_cp	cilnidipine
BRD-K89348303	HUH7	trt_cp	BRD-K89348303__HUH7__trt_cp	ramipril
BRD-K72093121	HUH7	trt_cp	BRD-K72093121__HUH7__trt_cp	vidarabine
BRD-K41160163	NPC	trt_cp	BRD-K41160163__NPC__trt_cp	fenobam
BRD-A18696154	MCF7	trt_cp	BRD-A18696154__MCF7__trt_cp	idazoxan
BRD-K53061490	HUH7	trt_cp	BRD-K53061490__HUH7__trt_cp	ozagrel
BRD-K85119730	HUH7	trt_cp	BRD-K85119730__HUH7__trt_cp	tolbutamide
BRD-K67277431	HUH7	trt_cp	BRD-K67277431__HUH7__trt_cp	picotamide
BRD-K77554836	HUH7	trt_cp	BRD-K77554836__HUH7__trt_cp	triamcinolone
BRD-K34730807	MCF7	trt_cp	BRD-K34730807__MCF7__trt_cp	levodopa
BRD-K59469039	PHH	trt_cp	BRD-K59469039__PHH__trt_cp	tyrphostin ag 879
BRD-A39903068	PC3	trt_cp	BRD-A39903068__PC3__trt_cp	sisomicin
BRD-K07390541	PC3	trt_cp	BRD-K07390541__PC3__trt_cp	vinpocetine
BRD-A75919782	MCF7	trt_cp	BRD-A75919782__MCF7__trt_cp	leucovorin
BRD-K13514097	YAPC	trt_cp	BRD-K13514097__YAPC__trt_cp	everolimus
BRD-K57391913	U937	trt_cp	BRD-K57391913__U937__trt_cp	iloprost
BRD-K16077845	HUH7	trt_cp	BRD-K16077845__HUH7__trt_cp	fentiazac
BRD-K70401845	HUH7	trt_cp	BRD-K70401845__HUH7__trt_cp	erlotinib
BRD-K66296774	NPC	trt_cp	BRD-K66296774__NPC__trt_cp	fluvastatin
BRD-K03739921	MCF10A	trt_cp	BRD-K03739921__MCF10A__trt_cp	hypoxanthine
BRD-A72024019	NPC	trt_cp	BRD-A72024019__NPC__trt_cp	tunicamycin
BRD-K08316444	NPC	trt_cp	BRD-K08316444__NPC__trt_cp	rotenone
BRD-K04809113	NEU	trt_cp	BRD-K04809113__NEU__trt_cp	hydroxytyrosol
BRD-K28494619	MCF7	trt_cp	BRD-K28494619__MCF7__trt_cp	sulfamethoxazole
BRD-A22256192	MCF7	trt_cp	BRD-A22256192__MCF7__trt_cp	terazosin
BRD-A20958854	NPC	trt_cp	BRD-A20958854__NPC__trt_cp	dopamine
BRD-K54790157	PC3	trt_cp	BRD-K54790157__PC3__trt_cp	trioxsalen
BRD-K91328526	PC3	trt_cp	BRD-K91328526__PC3__trt_cp	clomifene
BRD-K01638814	NEU	trt_cp	BRD-K01638814__NEU__trt_cp	rilmenidine
