pert_id	drug_id
BRD-K63151507	MNITMT
BRD-K63750851	mycophenolic-acid
BRD-K31542390	mycophenolic-acid
BRD-K61217870	N-(3-acetamidophenyl)-3-chlorobenzamide
BRD-K05831461	n-acetyl-l-leucine
BRD-K06024458	N-arachidonyl-GABA
BRD-A33514596	N-benzylnaltrindole
BRD-A61470182	N-formylmethionylalanine
BRD-K60060639	methyllidocaine
BRD-K93806173	N-MPPP
BRD-K41143549	N20C
BRD-A85234536	N6-cyclopentyladenosine
BRD-K83354763	NFKB-activation-inhibitor-II
BRD-K76600340	nicotinyl-alcohol-tartrate
BRD-K59333713	niguldipine-(S)-(+)
BRD-K88625236	nonoxynol-9
BRD-A48349196	nor-1-chlorpromazine
BRD-K58901278	nor-1-chlorpromazine
BRD-K69458799	nor-1-promazine
BRD-A65771317	nor-2-chlorpromazine
BRD-K39981244	norepinephrine
BRD-K87349682	norepinephrine
BRD-A91555231	norepinephrine
BRD-A39415247	norethisterone
BRD-K31460632	norfenfluramine
BRD-A51916548	norfenfluramine
BRD-K89272762	NPPB
BRD-K68143200	NSC-95397
BRD-K43449605	oncrasin-1
BRD-K42805893	AZD-9291
BRD-K86940927	p-azido-PE-TFMPP
BRD-K05677083	PACOCF3
BRD-K50817623	pancuronium
BRD-K28120222	parthenolide-(alternate-stereo)
BRD-K82823804	PD-407824
BRD-K43966364	penicillin-v-potassium
BRD-A93477898	PETCM
BRD-K67844266	MLN-4924
BRD-A66025870	phenethicillin
BRD-A15079084	phorbol-12-myristate-13-acetate
BRD-K68873215	phosphodiesterase-V-inhibitor-II
BRD-K99498722	NPI-2358
BRD-K60507178	podophyllotoxin
BRD-K47869605	podophyllotoxin
BRD-A16746338	podophyllotoxin
BRD-A94523291	prednisolone-sodium-phosphate
BRD-K09907482	PRL-3-inhibitor-I
BRD-K92830582	propranolol-(R)
BRD-K11451237	proscillaridin-a
BRD-K04010869	prostaglandin-a1
BRD-K82865713	prostaglandin-b2
BRD-K48099440	prostaglandin-e1
BRD-K02581333	protein-tyrosine-phosphatase-inhibitor-IV
BRD-K20672254	pyrantel-pamoate
BRD-K10016611	pyridine-2-aldoxime
BRD-K36162096	pyridine-2,4-dicarboxylic-acid
BRD-K13261168	LY-16350
BRD-K26548821	quinpirol-(-)
BRD-K13544237	r(-)-propylnorapomorphine
BRD-K65331431	retinyl
BRD-K46678324	RHO-kinase-inhibitor-II
BRD-K23875128	RHO-kinase-inhibitor-III[rockout]
BRD-K75516118	rolipram-R(-)
BRD-K65856711	rolipram-S(+)
BRD-K29983336	rondual-kinase-inhibitor
BRD-K81855038	roxatidine
